fa_type,fa_code,car_parked
SR,49A,2
SR,74A,55
SR,Z46,57
RSU,F50X,62
RSU,F504,7
RSU,F510,2756
SR,6511,394
RSU,6659,2
RSU,6661,2
RSU,6663,14
RSU,6670,27
RSU,6677,262
RSU,6691,18
SR,6701,16
RSU,6704,21
RSU,6705,37
RSU,6759,42
RSU,6781,1
RSU,6886,1
RSU,6949,1
RSU,6980,1
RSU,6650,1
SR,28A,2
CSN,05A,38
SR,Y93,2
CSN,YA8,1
CSN,Z39,5
CSN,ZD8,5
RSU,6416,14
RSU,6418,5
RSU,6425,10
RSU,6431,6
RSU,6512,3
RSU,6517,4
RSU,6526,155
RSU,6538,21
RSU,6540,24
RSU,6541,3
CSN,6605,24
RSU,6611,107
RSU,23-120,5
RSU,23-169,12
RSU,23-174,4
RSU,6653,5
